Type,Value
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,no
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,no
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Eat Properly,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,no
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,no
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,no
Avoid Distractions,yes
Avoid Distractions,yes
Avoid Distractions,no
Avoid Distractions,no
Avoid Distractions,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,no
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
Cold Shower,yes
