Habit,Date,Value,Unit,Memo,Tag,Habit Type
Eat Properly,2023-08-01,1.0,Yes,,,Build
Eat Properly,2023-08-02,1.0,Yes,,,Build
Eat Properly,2023-08-04,0.0,Yes,,,Build
Eat Properly,2023-08-05,1.0,Yes,,,Build
Eat Properly,2023-08-06,1.0,Yes,,,Build
Eat Properly,2023-08-07,1.0,Yes,,,Build
Eat Properly,2023-08-08,1.0,Yes,,,Build
Eat Properly,2023-08-11,1.0,Yes,,,Build
Eat Properly,2023-08-12,1.0,Yes,,,Build
Eat Properly,2023-08-14,1.0,Yes,,,Build
Eat Properly,2023-08-15,1.0,Yes,,,Build
Eat Properly,2023-08-17,1.0,Yes,,,Build
Eat Properly,2023-08-18,1.0,Yes,,,Build
Eat Properly,2023-08-19,1.0,Yes,,,Build
Eat Properly,2023-08-21,1.0,Yes,,,Build
Eat Properly,2023-08-23,1.0,Yes,,,Build
Eat Properly,2023-08-24,1.0,Yes,,,Build
Eat Properly,2023-08-28,1.0,Yes,,,Build
Eat Properly,2023-08-31,1.0,Yes,,,Build
