Habit,Date,Value,Unit,Memo,Tag,Habit Type
Exercise,2023-08-01,75.0,min,,,Build
Exercise,2023-08-02,30.0,min,,,Build
Exercise,2023-08-03,30.0,min,,,Build
Exercise,2023-08-04,30.0,min,,,Build
Exercise,2023-08-05,165.0,min,,,Build
Exercise,2023-08-06,80.0,min,,,Build
Exercise,2023-08-07,30.0,min,,,Build
Exercise,2023-08-08,30.0,min,,,Build
Exercise,2023-08-09,30.0,min,,,Build
Exercise,2023-08-10,45.0,min,,,Build
Exercise,2023-08-11,60.0,min,,,Build
Exercise,2023-08-12,65.0,min,,,Build
Exercise,2023-08-13,80.0,min,,,Build
Exercise,2023-08-14,60.0,min,,,Build
Exercise,2023-08-15,30.0,min,,,Build
Exercise,2023-08-16,30.0,min,,,Build
Exercise,2023-08-17,30.0,min,,,Build
Exercise,2023-08-18,120.0,min,,,Build
Exercise,2023-08-19,50.0,min,,,Build
Exercise,2023-08-20,30.0,min,,,Build
Exercise,2023-08-21,30.0,min,,,Build
Exercise,2023-08-22,65.0,min,,,Build
Exercise,2023-08-23,30.0,min,,,Build
Exercise,2023-08-24,30.0,min,,,Build
Exercise,2023-08-25,30.0,min,,,Build
Exercise,2023-08-27,70.0,min,,,Build
Exercise,2023-08-28,30.0,min,,,Build
Exercise,2023-08-29,30.0,min,,,Build
Exercise,2023-08-30,45.0,min,,,Build
Exercise,2023-08-31,60.0,min,,,Build
