Habit,Date,Value,Unit,Memo,Tag,Habit Type
Don’t feed addiction(s),2023-04-29,1,Yes,,,Build
Don’t feed addiction(s),2023-04-30,1,Yes,,,Build
Don’t feed addiction(s),2023-05-02,1,Yes,,,Build
Don’t feed addiction(s),2023-05-04,1,Yes,,,Build
Don’t feed addiction(s),2023-05-06,1,Yes,,,Build
Don’t feed addiction(s),2023-05-07,1,Yes,,,Build
Don’t feed addiction(s),2023-05-23,1,Yes,,,Build
Don’t feed addiction(s),2023-05-25,1,Yes,,,Build
Don’t feed addiction(s),2023-05-26,1,Yes,,,Build
Don’t feed addiction(s),2023-05-29,1,Yes,,,Build
Don’t feed addiction(s),2023-05-30,1,Yes,,,Build
Don’t feed addiction(s),2023-06-12,1,Yes,,,Build
Don’t feed addiction(s),2023-06-13,1,Yes,,,Build
Don’t feed addiction(s),2023-06-25,1,Yes,,,Build
Don’t feed addiction(s),2023-06-26,1,Yes,,,Build
Don’t feed addiction(s),2023-07-10,1,Yes,,,Build
Don’t feed addiction(s),2023-07-11,0,Yes,,,Build
Don’t feed addiction(s),2023-07-12,1,Yes,,,Build
Don’t feed addiction(s),2023-07-16,1,Yes,,,Build
Don’t feed addiction(s),2023-07-17,1,Yes,,,Build
Don’t feed addiction(s),2023-07-25,1,Yes,,,Build
Don’t feed addiction(s),2023-07-26,1,Yes,,,Build
Don’t feed addiction(s),2023-07-29,1,Yes,,,Build
Don’t feed addiction(s),2023-08-01,1,Yes,,,Build
Don’t feed addiction(s),2023-08-05,1,Yes,,,Build
Don’t feed addiction(s),2023-08-06,1,Yes,,,Build
Don’t feed addiction(s),2023-08-07,1,Yes,,,Build
Don’t feed addiction(s),2023-08-08,1,Yes,,,Build
Don’t feed addiction(s),2023-08-17,1,Yes,,,Build
Don’t feed addiction(s),2023-08-18,1,Yes,,,Build
Don’t feed addiction(s),2023-08-21,1,Yes,,,Build
Don’t feed addiction(s),2023-08-22,1,Yes,,,Build
Don’t feed addiction(s),2023-08-23,1,Yes,,,Build
Don’t feed addiction(s),2023-08-24,0,Yes,,,Build
Don’t feed addiction(s),2023-08-31,0,Yes,,,Build
Don’t feed addiction(s),2023-08-01,1,Yes,,,Build
Don’t feed addiction(s),2023-08-05,1,Yes,,,Build
Don’t feed addiction(s),2023-08-06,1,Yes,,,Build
Don’t feed addiction(s),2023-08-07,1,Yes,,,Build
Don’t feed addiction(s),2023-08-08,1,Yes,,,Build
Don’t feed addiction(s),2023-08-17,1,Yes,,,Build
Don’t feed addiction(s),2023-08-18,1,Yes,,,Build
Don’t feed addiction(s),2023-08-21,1,Yes,,,Build
Don’t feed addiction(s),2023-08-22,1,Yes,,,Build
Don’t feed addiction(s),2023-08-23,1,Yes,,,Build
Don’t feed addiction(s),2023-08-24,0,Yes,,,Build
Don’t feed addiction(s),2023-08-31,0,Yes,,,Build
Developing Technical Skills,2023-02-11,80,min,,,Build
Developing Technical Skills,2023-02-13,15,min,,,Build
Developing Technical Skills,2023-02-14,105,min,,,Build
Developing Technical Skills,2023-02-15,120,min,,,Build
Developing Technical Skills,2023-02-16,140,min,,,Build
Developing Technical Skills,2023-02-17,40,min,,,Build
Developing Technical Skills,2023-02-18,170,min,,,Build
Developing Technical Skills,2023-02-24,60,min,,,Build
Developing Technical Skills,2023-02-25,70,min,,,Build
Developing Technical Skills,2023-02-27,60,min,,,Build
Developing Technical Skills,2023-02-28,50,min,,,Build
Developing Technical Skills,2023-03-01,15,min,,,Build
Developing Technical Skills,2023-03-02,62,min,,,Build
Developing Technical Skills,2023-03-03,15,min,,,Build
Developing Technical Skills,2023-03-04,55,min,,,Build
Developing Technical Skills,2023-03-05,15,min,,,Build
Developing Technical Skills,2023-03-06,30,min,,,Build
Developing Technical Skills,2023-03-10,30,min,,,Build
Developing Technical Skills,2023-03-11,100,min,,,Build
Developing Technical Skills,2023-03-12,93,min,,,Build
Developing Technical Skills,2023-03-13,140,min,,,Build
Developing Technical Skills,2023-03-14,15,min,,,Build
Developing Technical Skills,2023-03-15,180,min,,,Build
Developing Technical Skills,2023-03-18,80,min,,,Build
Developing Technical Skills,2023-03-19,195,min,,,Build
Developing Technical Skills,2023-03-20,15,min,,,Build
Developing Technical Skills,2023-03-22,60,min,,,Build
